k,Energy (eV)
0.18297,-5.131427
0.20911,-5.168163
0.23525,-5.20762
0.26138,-5.251158
0.28752,-5.297418
0.31366,-5.346399
0.3398,-5.39674
0.36594,-5.447082
0.39207,-5.497423
0.41821,-5.549125
0.44435,-5.588582
0.47049,-5.566813
0.49663,-5.547765
0.52277,-5.531438
0.5489,-5.51511
0.57504,-5.501505
0.60118,-5.49062
0.62732,-5.479736
0.65346,-5.471572
0.67959,-5.464769
0.70573,-5.457966
0.73187,-5.452524
0.75801,-5.448442
0.78415,-5.445722
0.81029,-5.443
0.83642,-5.441639
0.86256,-5.440279
0.8887,-5.440279
,
,
0.0,-5.026662
0.02614,-5.026662
0.05228,-5.030745
0.07842,-5.038908
0.10455,-5.052514
0.13069,-5.072922
0.15683,-5.100134
0.18297,-5.127346
0.20911,-5.121903
0.23525,-5.116461
0.26138,-5.109658
0.28752,-5.101494
0.31366,-5.093331
0.3398,-5.082447
0.36594,-5.071562
0.39207,-5.057956
0.41821,-5.04435
0.44435,-5.028023
0.47049,-5.011696
0.49663,-4.995369
0.52277,-4.977682
0.5489,-4.959994
0.57504,-4.940946
0.60118,-4.924619
0.62732,-4.908292
0.65346,-4.891965
0.67959,-4.87836
0.70573,-4.864754
0.73187,-4.853869
0.75801,-4.849788
0.78415,-4.857951
0.81029,-4.863393
0.83642,-4.868835
0.86256,-4.871556
0.8887,-4.872917
,
,
0.0,-4.968157
0.02614,-4.968157
0.05228,-4.968157
0.07842,-4.965436
0.10455,-4.959994
0.13069,-4.95047
0.15683,-4.936864
0.18297,-4.919177
0.20911,-4.901489
0.23525,-4.87972
0.26138,-4.857951
0.28752,-4.836181
0.31366,-4.814412
0.3398,-4.792643
0.36594,-4.773595
0.39207,-4.757268
0.41821,-4.745023
0.44435,-4.736859
0.47049,-4.735498
0.49663,-4.736859
0.52277,-4.743662
0.5489,-4.753186
0.57504,-4.764071
0.60118,-4.776316
0.62732,-4.789922
0.65346,-4.803527
0.67959,-4.815773
0.70573,-4.828018
0.73187,-4.838903
0.75801,-4.844345
0.78415,-4.836181
0.81029,-4.829379
0.83642,-4.825297
0.86256,-4.822576
0.8887,-4.821215
,
,
0.0,-4.610325
0.02614,-4.608965
0.05228,-4.606243
0.07842,-4.602161
0.10455,-4.595359
0.13069,-4.585835
0.15683,-4.57495
0.18297,-4.562705
0.20911,-4.547738
0.23525,-4.530051
0.26138,-4.509642
0.28752,-4.487873
0.31366,-4.462022
0.3398,-4.434811
0.36594,-4.41168
0.39207,-4.419844
0.41821,-4.425286
0.44435,-4.430728
0.47049,-4.434811
0.49663,-4.436171
0.52277,-4.437531
0.5489,-4.437531
0.57504,-4.437531
0.60118,-4.436171
0.62732,-4.434811
0.65346,-4.43345
0.67959,-4.432089
0.70573,-4.432089
0.73187,-4.430728
0.75801,-4.430728
0.78415,-4.429368
0.81029,-4.429368
0.83642,-4.429368
0.86256,-4.429368
0.8887,-4.429368
,
,
0.0,-4.29331
0.02614,-4.29331
0.05228,-4.296031
0.07842,-4.300113
