Energy (eV),DOS,Intg. DOS
-6.588464,0.0,10.0
-6.571825,0.0,10.0
-6.555187,0.0,10.0
-6.538548,0.0,10.0
-6.521909,0.0,10.0
-6.505271,0.0,10.0
-6.488632,0.0,10.0
-6.471994,0.0,10.0
-6.455355,0.028852,10.000123
-6.438717,0.153164,10.001501
-6.422078,0.375604,10.005764
-6.40544,0.858995,10.015288
-6.388801,0.9462,10.032044
-6.372162,1.083757,10.04889
-6.355524,1.246443,10.068254
-6.338885,1.422253,10.090439
-6.322247,1.611551,10.115655
-6.305608,1.916972,10.144647
-6.28897,2.029669,10.177414
-6.272331,2.195602,10.212493
-6.255693,2.398294,10.250671
-6.239054,2.645125,10.292548
-6.222415,3.246617,10.340657
-6.205777,3.679159,10.39805
-6.189138,4.273322,10.463985
-6.1725,5.024533,10.541138
-6.155861,5.974924,10.636659
-6.139223,6.099451,10.73682
-6.122584,6.293228,10.839835
-6.105946,6.59309,10.94687
-6.089307,7.337002,11.05871
-6.072668,6.776494,11.174444
-6.05603,6.374695,11.28359
-6.039391,6.27265,11.387874
-6.022753,7.400344,11.500615
-6.006114,9.346848,11.638683
-5.989476,11.221532,11.808205
-5.972837,11.592214,12.005579
-5.956199,9.648713,12.182296
-5.93956,8.724191,12.338153
-5.922921,7.844782,12.475524
-5.906283,7.296576,12.60115
-5.889644,6.862158,12.718457
-5.873006,6.639908,12.831641
-5.856367,6.682172,12.942064
-5.839729,6.459627,13.051115
-5.82309,7.404998,13.163009
-5.806452,6.838227,13.285965
-5.789813,6.127027,13.393883
-5.773174,5.277974,13.488416
-5.756536,4.863272,13.572578
-5.739897,4.159957,13.648075
-5.723259,3.777745,13.713918
-5.70662,3.479922,13.77424
-5.689982,3.25447,13.830006
-5.673343,3.40675,13.884702
-5.656705,4.010725,13.948304
-5.640066,3.752091,14.013638
-5.623427,3.193731,14.07228
-5.606789,2.385346,14.115425
-5.59015,2.506721,14.155327
-5.573512,3.061407,14.202476
-5.556873,3.555535,14.257272
-5.540235,4.565062,14.323911
-5.523596,7.617428,14.424633
-5.506958,11.050566,14.583006
-5.490319,11.743063,14.773139
-5.47368,11.040846,14.96612
-5.457042,11.740486,15.154912
-5.440403,12.794363,15.358759
-5.423765,13.069724,15.577716
-5.407126,10.295586,15.775149
-5.390488,8.268967,15.927486
-5.373849,7.140072,16.052811
-5.357211,6.541161,16.165836
-5.340572,6.519723,16.273889
-5.323933,9.252079,16.401394
-5.307295,11.32282,16.575495
-5.290656,11.517828,16.767594
-5.274018,11.929185,16.960664
-5.257379,11.724473,17.165796
-5.240741,8.640335,17.329086
-5.224102,7.104374,17.459452
-5.207464,6.109925,17.568585
-5.190825,5.401472,17.664362
-5.174187,4.653648,17.74828
-5.157548,3.966215,17.820177
-5.140909,3.101307,17.879924
-5.124271,2.299745,17.924622
-5.107632,1.779923,17.958401
-5.090994,1.241356,17.984223
-5.074355,0.519622,17.998323
-5.057717,0.270427,18.004184
-5.041078,0.351204,18.00915
-5.02444,0.913499,18.017894
-5.007801,2.803163,18.046573
-4.991162,5.33329,18.11611
-4.974524,8.798018,18.231852
-4.957885,14.580122,18.415839
-4.941247,14.606661,18.659443
-4.924608,14.3261,18.900918
-4.90797,14.111389,19.136649
-4.891331,15.209827,19.382411
-4.874693,15.483259,19.638033
-4.858054,15.703514,19.896627
-4.841415,15.635735,20.157793
-4.824777,16.661122,20.428387
-4.808138,18.395984,20.719769
-4.7915,13.717243,20.997659
-4.774861,12.683095,21.216255
-4.758223,15.482016,21.449814
-4.741584,12.021835,21.689242
-4.724946,8.908515,21.865735
-4.708307,5.499605,21.983013
-4.691668,5.435855,22.065691
-4.67503,10.275143,22.187045
-4.658391,12.068644,22.365893
-4.641753,19.261761,22.620954
-4.625114,17.245766,22.943309
-4.608476,14.115513,23.207514
-4.591837,12.360603,23.423649
-4.575199,9.772816,23.613554
-4.55856,12.804233,23.742216
-4.541921,19.303098,24.025833
-4.525283,21.758882,24.363086
-4.508644,17.50364,24.696647
-4.492006,16.671447,24.979129
-4.475367,15.702436,25.253818
-4.458729,15.609125,25.512082
-4.44209,22.970042,25.823185
-4.425452,15.799306,26.147211
-4.408813,17.419938,26.419601
-4.392174,18.132713,26.708991
-4.375536,23.321244,27.051919
-4.358897,25.533664,27.472879
-4.342259,16.14846,27.835476
-4.32562,7.264517,28.010852
-4.308982,5.349581,28.112426
-4.292343,6.86189,28.20848
-4.275705,9.583225,28.351692
-4.259066,11.426074,28.527202
-4.242427,13.392439,28.731838
-4.225789,16.805571,28.980178
-4.20915,24.951634,29.323996
-4.192512,26.245424,29.799967
-4.175873,23.13893,30.18295
-4.159235,19.656227,30.565708
-4.142596,21.210788,30.891049
-4.125958,36.691163,31.457981
-4.109319,22.513027,32.088271
-4.09268,9.796441,32.304997
-4.076042,5.136495,32.432594
-4.059403,4.532609,32.509224
-4.042765,4.835999,32.587137
-4.026126,5.179187,32.670068
-4.009488,6.39905,32.7647
-3.992849,8.895381,32.889317
-3.976211,10.100421,33.054078
-3.959572,11.138168,33.229346
-3.942933,12.119468,33.428459
-3.926295,13.961467,33.642479
-3.909656,11.00461,33.855903
-3.893018,8.507453,34.017208
-3.876379,7.306214,34.146516
-3.859741,7.174228,34.266192
-3.843102,7.963919,34.388406
-3.826464,13.26714,34.554539
-3.809825,12.067869,34.760445
-3.793186,11.704194,34.958001
-3.776548,10.225652,35.145008
-3.759909,9.471711,35.305043
-3.743271,9.08753,35.461913
-3.726632,8.136925,35.6042
-3.709994,7.458948,35.733909
-3.693355,6.801528,35.852892
-3.676717,6.309485,35.963386
-3.660078,5.725538,36.070328
